manufacturer,model,category,registrations_count,month_year,state
"Ather Energy","450X","ev_two_wheeler",67,"2021-01-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",62,"2021-01-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",57,"2021-01-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",44,"2021-01-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",49,"2021-01-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",41,"2021-01-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",44,"2021-01-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",34,"2021-01-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",26,"2021-01-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",25,"2021-01-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",26,"2021-01-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",25,"2021-01-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",22,"2021-01-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-01-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-01-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-01-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",12,"2021-01-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-01-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",87,"2021-01-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",91,"2021-01-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",68,"2021-01-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",65,"2021-01-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",59,"2021-01-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",68,"2021-01-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",47,"2021-01-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",46,"2021-01-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",32,"2021-01-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",24,"2021-01-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",31,"2021-01-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",30,"2021-01-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",85,"2021-02-01","Maharashtra"
