100644 blob e832401d33d44ed5b1983a6e22062d7e3e626c08	.env.example
100644 blob 104aede9d4d0a24b01b0c540c6b715b9f1fd0ebe	.gitignore
100644 blob a091173077872a2a59b9f5a46b6530262bd1eb05	README.md
100644 blob 7801b1f38e1477ea3b27ac3c48bc682435ef8921	app/assign/page.js
100644 blob b4b72a3c6a8360caede5076e455192ed0dfff93a	app/buildprice/page.js
100644 blob 1d4725b6940c824d6887bc1189b02c63702322a6	app/command/page.js
100644 blob e95f0d81f9d6ca5fec8644743fafee660fcd3a6e	app/connect/page.js
100644 blob b46907b215d78042cfee258385eac54265d3a937	app/dealer/page.js
100644 blob cf02a0ad2669dc8943ee16ddf5e8190ce4ae289a	app/layout.js
100644 blob d97aabe2e7336aa5de5baf2406ce9c4424821fc0	app/leads/[id]/page.js
100644 blob 57011df3a26ca1c57552c6156f75216ba97bbbe8	app/leads/new/page.js
100644 blob eb349088baa5d3be712b2bb85f86d28e534ee5a1	app/leads/page.js
100644 blob 87e5d6d698a284f15968edfea435c2cadf7ceead	app/login/page.js
100644 blob a09288bf41e1e5e08813ec402000a2f4819813ba	app/market-research/page.js
100644 blob d5501eaa9689623c8d895003f2ec4953f174d0b5	app/mygarage/page.js
100644 blob f0c38e051c0e399b07a593cde45340d8ff2db570	app/page.js
100644 blob 59fa8c165967d4ef30eb9073404257449e08e2e5	app/queue/page.js
100644 blob ce0ffb0e196889e64d0316313eb12d557e07fd5f	app/quotepro/page.js
100644 blob 51b4c63b9462a882ac98fed6928bb8a50fa5e11f	app/showroom/page.js
100644 blob f0ba5929bb11a1d9472d9940732dd7b0231b4364	app/vehicles/page.js
100644 blob 06ebe72216d63b6e3f62cbe809ad487a69dd5ca5	components/layout/Shell.js
100644 blob b7eba28129dba4b900d1295eef0d8d0ce813f4b2	components/ui/index.js
100644 blob a022535558291a8ba4fa282cea3cd028d115e662	lib/constants.js
100644 blob 154a0b50d55a043e95d53e750f7dc0a04c695b4f	lib/data.js
100644 blob 7bfc90d0363913dbb9fb44cfa2e4d143cb061752	next.config.js
100644 blob 6d40750516f8e1b0cb20e6eef5acceb763b5acf6	package.json
100644 blob 295956703fe4f7c2c573527974fe80dd99ade8ad	postcss.config.js
100644 blob a7ae339cf1a163cd5e7a709a7f237943d0824ef7	tailwind.config.js
